index,in Watt,,,,,,,,,
model,TDP,core_units,TDP_per_core, manufacturer,family,manufacture_date,process,die_size,die_size_per_core,source
A8-7600,65,4,11.3,AMD,Kaveri,2014,28,245,,https://www.techpowerup.com/cpu-specs/
A8-7680,45,4,11.3,AMD,Carrizo,2018,28,250,,https://www.techpowerup.com/cpu-specs/
A9-9425 SoC,15,2,7.5,,,,,,,https://www.techpowerup.com/cpu-specs/
AMD 7552,200,48,4.2,,,,,,,https://www.amd.com/system/files/documents/AMD-EPYC-7002-Series-Datasheet.pdf
AMD EPYC 7251,120,8,15.0,,,,,,,https://www.amd.com/en/products/cpu/amd-epyc-7251
EPYC Embedded 9124,200,16,-1,AMD,Genoa,2023,6,685,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9254,200,24,-1,AMD,Genoa,2023,6,685,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9354,280,32,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9354P,280,32,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9454,290,48,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9454P,290,48,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9554,360,64,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
EPYC Embedded 9554P,360,64,-1,AMD,Genoa,2023,6,973,,https://www.techpowerup.com/cpu-specs/
Any,,,12.0,,,,,,,
Athlon 3000G,35,2,17.5,,,,,,,https://www.techpowerup.com/cpu-specs/
Core 2 Quad Q6600,95,4,23.8,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-10100,65,4,16.3,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-10300,62,4,15.5,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-10320,91,4,22.8,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-10350K,91,4,22.8,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-9100,65,4,16.3,,,,,,,https://www.techpowerup.com/cpu-specs/
Core i3-9100F,65,4,16.3,,,,,,,https://www.techpowerup.com/cpu-specs/
