,Watts,,,,year,nm,cm²,
model,TDP,core_units,manufacturer,family,manufacture_date,process,die_size,source, comment
EPYC Embedded 9124,200,16,AMD,Genoa,2023,5,6.85,https://www.techpowerup.com/cpu-specs/epyc-embedded-9124.c3194,die size = 4*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9254,200,24,AMD,Genoa,2023,5,6.85,https://www.techpowerup.com/cpu-specs/epyc-embedded-9254.c3193,die size = 4*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9354,280,32,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354.c3192,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9354P,280,32,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9354p.c3195,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9454,290,48,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454.c3191,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9454P,290,48,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9454p.c3196,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9554,360,64,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554.c3190,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9554P,360,64,AMD,Genoa,2023,5,9.73,https://www.techpowerup.com/cpu-specs/epyc-embedded-9554p.c3197,die size = 8*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9654,360,96,AMD,Genoa,2023,5,12.61,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654.c3189,die size = 12*72 mm² (5nm) + 397 (6nm)
EPYC Embedded 9654P,360,96,AMD,Genoa,2023,5,12.61,https://www.techpowerup.com/cpu-specs/epyc-embedded-9654p.c3198,die size = 12*72 mm² (5nm) + 397 (6nm)
EPYC 7773X,280,64,AMD,Milan-X,2022,7,10.64,https://www.techpowerup.com/cpu-specs/epyc-7773x.c2759,die size = 8*81 mm² (7nm) + 416 (12nm)
