model,estimate,time,expected,estimated,expected,estimated
,,,energy,energy,carbon,carbon
,,(s),(kWh),(kWh),(kgCO2e),(kgCO2e)
CamemBERT_base,lower,7207,1.08,,.317,.415
CamemBERT_base,upper,7207,1.08,1.43,.317,.421
CamemBERT_large,lower,19445,3.10,3.77,.914,1.11
CamemBERT_large,upper,19445,3.10,3.83,.914,1.13
FrALBERT_base,lower,3816,.57,.75,.167,.221
FrALBERT_base,upper,3816,.57,.761,.167,.225
XLM-R_base,lower,7676,1.14,1.5,.337,.441
XLM-R_base,upper,7676,1.14,1.52,.337,.448
XLM-R_large,lower,21137,3.3,4.1,.973,1.21
XLM-R_large,upper,21137,3.3,4.16,.973,1.23
mBERT_base,lower,7333,1.07,1.43,.317,.422
mBERT_base,upper,7333,1.07,1.45,.317,.428
samll-mBERT_base,lower,7190,1.09,1.4,.321,.414
samll-mBERT_base,upper,7190,1.09,1.42,.321,.42
distil-mBERT_base,lower,6466,1.06,1.26,.314,.372
distil-mBERT_base,upper,6466,1.06,1.28,.314,.378
